CMTE_ID,IPTHREE_ID,IPTHREE_NAME,TRANSACTION_AMT,CAND_ID,CAND_NAME,PTY,Month,Day,Year,OFFICE
0,0,10.59.212,1,0,10.26.52.169,REP,,,,H
0,0,10.59.212,2803,3,10.59.223.66,REP,,,,H
0,0,10.59.212,24360,6,10.59.22.82,REP,,,,H
0,0,10.59.212,172,10,10.59.253.58,REP,,,,H
0,0,10.59.212,2,16,10.59.174.62,REP,,,,H
0,0,10.59.212,369,19,10.59.207.218,REP,,,,H
0,0,10.59.212,4,20,10.41.27.230,REP,,,,H
0,0,10.59.212,368,21,10.59.223.172,REP,,,,H
0,0,10.59.212,1118,26,10.34.143.103,REP,,,,H
0,0,10.59.212,5993,30,10.59.34.15,REP,,,,H
0,0,10.59.212,3494,32,10.59.45.122,REP,,,,H
0,0,10.59.212,3,33,10.65.221.150,REP,,,,H
0,0,10.59.212,3,34,10.24.32.70,REP,,,,H
0,0,10.59.212,1,37,10.28.52.151,REP,,,,H
0,0,10.59.212,4,38,10.28.52.233,REP,,,,H
0,0,10.59.212,3,41,10.65.117.184,REP,,,,H
0,0,10.59.212,2,42,10.41.11.98,REP,,,,H
0,0,10.59.212,2,47,10.59.223.186,REP,,,,H
0,0,10.59.212,99,51,10.59.223.59,REP,,,,H
0,0,10.59.212,3,56,10.46.24.248,REP,,,,H
0,0,10.59.212,4,57,10.34.143.65,REP,,,,H
0,0,10.59.212,2,60,10.28.196.177,REP,,,,H
0,0,10.59.212,1693,66,10.59.137.187,REP,,,,H
0,0,10.59.212,1,68,10.30.172.236,REP,,,,H
0,0,10.59.212,4,70,10.42.99.20,REP,,,,H
0,0,10.59.212,1120,80,10.59.137.52,REP,,,,H
0,0,10.59.212,2,82,10.32.170.99,REP,,,,H
0,0,10.59.212,2,98,10.41.80.139,REP,,,,H
0,0,10.59.212,6,109,10.17.181.141,REP,,,,H
0,0,10.59.212,3,110,10.45.32.237,REP,,,,H
0,0,10.59.212,142,112,10.59.137.72,REP,,,,H
0,0,10.59.212,369,116,10.59.126.7,REP,,,,H
0,0,10.59.212,9,132,10.59.81.129,REP,,,,H
0,0,10.59.212,3,141,10.59.137.248,REP,,,,H
0,1,10.59.21,4,0,10.26.52.169,REP,,,,H
0,1,10.59.21,23884,3,10.59.223.66,REP,,,,H
0,1,10.59.21,883,16,10.59.174.62,REP,,,,H
0,1,10.59.21,972,19,10.59.207.218,REP,,,,H
0,1,10.59.21,80,20,10.41.27.230,REP,,,,H
0,1,10.59.21,5636,21,10.59.223.172,REP,,,,H
0,1,10.59.21,64,25,10.59.253.170,REP,,,,H
0,1,10.59.21,66,26,10.34.143.103,REP,,,,H
0,1,10.59.21,1240,32,10.59.45.122,REP,,,,H
0,1,10.59.21,118,33,10.65.221.150,REP,,,,H
0,1,10.59.21,5085,34,10.24.32.70,REP,,,,H
0,1,10.59.21,40,36,10.41.73.100,REP,,,,H
0,1,10.59.21,74,37,10.28.52.151,REP,,,,H
0,1,10.59.21,115,38,10.28.52.233,REP,,,,H
0,1,10.59.21,38,39,10.28.160.160,REP,,,,H
0,1,10.59.21,30,40,10.65.117.39,REP,,,,H
0,1,10.59.21,30,41,10.65.117.184,REP,,,,H
0,1,10.59.21,115,42,10.41.11.98,REP,,,,H
0,1,10.59.21,4059,47,10.59.223.186,REP,,,,H
0,1,10.59.21,3703,51,10.59.223.59,REP,,,,H
0,1,10.59.21,5,56,10.46.24.248,REP,,,,H
0,1,10.59.21,107,57,10.34.143.65,REP,,,,H
0,1,10.59.21,132,60,10.28.196.177,REP,,,,H
0,1,10.59.21,420,66,10.59.137.187,REP,,,,H
0,1,10.59.21,1456,68,10.30.172.236,REP,,,,H
0,1,10.59.21,39,69,10.46.207.253,REP,,,,H
0,1,10.59.21,17,70,10.42.99.20,REP,,,,H
0,1,10.59.21,402,80,10.59.137.52,REP,,,,H
0,1,10.59.21,89,82,10.32.170.99,REP,,,,H
0,1,10.59.21,1324,83,10.41.153.124,REP,,,,H
0,1,10.59.21,1090,84,10.62.35.233,REP,,,,H
0,1,10.59.21,58,98,10.41.80.139,REP,,,,H
0,1,10.59.21,292,106,10.59.223.142,REP,,,,H
0,1,10.59.21,10,109,10.17.181.141,REP,,,,H
0,1,10.59.21,483,112,10.59.137.72,REP,,,,H
0,1,10.59.21,251,116,10.59.126.7,REP,,,,H
0,1,10.59.21,7,138,10.65.221.124,REP,,,,H
0,1,10.59.21,6,139,10.41.56.60,REP,,,,H
0,1,10.59.21,7,141,10.59.137.248,REP,,,,H
0,7,10.59.174,91139,0,10.26.52.169,REP,,,,H
0,7,10.59.174,21313,7,10.59.174.187,REP,,,,H
0,7,10.59.174,20366,8,10.26.52.84,REP,,,,H
0,7,10.59.174,13551,11,10.26.52.237,REP,,,,H
0,7,10.59.174,13388,12,10.26.52.55,REP,,,,H
0,7,10.59.174,13160,13,10.26.52.183,REP,,,,H
0,7,10.59.174,13097,14,10.26.52.162,REP,,,,H
0,7,10.59.174,12864,15,10.59.174.170,REP,,,,H
0,7,10.59.174,10105,16,10.59.174.62,REP,,,,H
0,7,10.59.174,6597,22,10.59.174.143,REP,,,,H
0,7,10.59.174,6544,24,10.26.52.120,REP,,,,H
0,7,10.59.174,1,51,10.59.223.59,REP,,,,H
0,7,10.59.174,2913,56,10.46.24.248,REP,,,,H
0,7,10.59.174,2470,64,10.59.174.4,REP,,,,H
0,7,10.59.174,425,101,10.42.244.94,REP,,,,H
0,7,10.59.174,5,111,10.24.53.124,REP,,,,H
0,12,10.59.207,1,18,10.59.137.255,REP,,,,H
0,12,10.59.207,860,94,10.37.68.64,REP,,,,H
0,12,10.59.207,233,136,10.59.58.228,REP,,,,H
0,14,10.59.45,56864,1,10.59.45.180,REP,,,,H
0,14,10.59.45,7921,19,10.59.207.218,REP,,,,H
0,14,10.59.45,6554,23,10.50.185.170,REP,,,,H
0,14,10.59.45,5264,26,10.34.143.103,REP,,,,H
0,14,10.59.45,141,29,10.41.242.201,REP,,,,H
0,14,10.59.45,733,32,10.59.45.122,REP,,,,H
0,14,10.59.45,5342,33,10.65.221.150,REP,,,,H
0,14,10.59.45,5282,36,10.41.73.100,REP,,,,H
0,14,10.59.45,5216,37,10.28.52.151,REP,,,,H
0,14,10.59.45,5164,38,10.28.52.233,REP,,,,H
0,14,10.59.45,5233,39,10.28.160.160,REP,,,,H
0,14,10.59.45,5154,40,10.65.117.39,REP,,,,H
0,14,10.59.45,5137,41,10.65.117.184,REP,,,,H
0,14,10.59.45,4761,42,10.41.11.98,REP,,,,H
0,14,10.59.45,2674,57,10.34.143.65,REP,,,,H
0,14,10.59.45,2540,60,10.28.196.177,REP,,,,H
0,14,10.59.45,1804,69,10.46.207.253,REP,,,,H
0,14,10.59.45,1768,70,10.42.99.20,REP,,,,H
0,14,10.59.45,763,98,10.41.80.139,REP,,,,H
0,14,10.59.45,225,136,10.59.58.228,REP,,,,H
0,19,10.59.223,32047,2,10.59.223.26,REP,,,,H
0,19,10.59.223,87,3,10.59.223.66,REP,,,,H
0,19,10.59.223,11112,17,10.14.252.143,REP,,,,H
0,19,10.59.223,1,25,10.59.253.170,REP,,,,H
0,19,10.59.223,14,28,10.59.88.121,REP,,,,H
0,19,10.59.223,4840,45,10.32.170.23,REP,,,,H
0,19,10.59.223,4812,46,10.32.170.198,REP,,,,H
0,19,10.59.223,302,47,10.59.223.186,REP,,,,H
0,19,10.59.223,3748,52,10.16.249.11,REP,,,,H
0,19,10.59.223,3456,54,10.16.249.62,REP,,,,H
0,19,10.59.223,2695,58,10.41.141.77,REP,,,,H
0,19,10.59.223,2675,59,10.41.141.51,REP,,,,H
0,19,10.59.223,2575,61,10.41.141.181,REP,,,,H
0,19,10.59.223,2574,62,10.41.141.9,REP,,,,H
0,19,10.59.223,2558,63,10.41.141.163,REP,,,,H
0,19,10.59.223,1,66,10.59.137.187,REP,,,,H
0,19,10.59.223,1778,72,10.31.68.144,REP,,,,H
0,19,10.59.223,1739,74,10.31.68.9,REP,,,,H
0,19,10.59.223,1674,75,10.31.68.27,REP,,,,H
