server_id,symbol,date,price,count
0,10.26.52.169,00:00,827495,3957
0,10.26.52.169,01:00,828378,3955
0,10.26.52.169,02:00,841909,4008
0,10.26.52.169,03:00,824640,3945
0,10.26.52.169,04:00,835091,4021
0,10.26.52.169,05:00,822638,3930
0,10.26.52.169,06:00,849733,4050
0,10.26.52.169,07:00,859523,4100
0,10.26.52.169,08:00,820519,3925
0,10.26.52.169,09:00,808689,3900
0,10.26.52.169,10:00,777075,3781
0,10.26.52.169,11:00,799118,3853
0,10.26.52.169,12:00,818413,3971
0,10.26.52.169,13:00,793271,3852
0,10.26.52.169,14:00,793583,3891
0,10.26.52.169,15:00,787372,3859
0,10.26.52.169,16:00,812687,3965
0,10.26.52.169,17:00,809058,3936
0,10.26.52.169,18:00,797576,3860
0,10.26.52.169,19:00,796511,3864
0,10.26.52.169,20:00,811499,3913
0,10.26.52.169,21:00,813632,3908
0,10.26.52.169,22:00,826525,3964
0,10.26.52.169,23:00,827880,3963
1,10.59.45.180,00:00,232573395,2279
1,10.59.45.180,01:00,288131185,2411
1,10.59.45.180,02:00,229302832,2312
1,10.59.45.180,03:00,308286862,2329
1,10.59.45.180,04:00,286996386,2156
1,10.59.45.180,05:00,265050170,2216
1,10.59.45.180,06:00,382470125,2719
1,10.59.45.180,07:00,285962096,2084
1,10.59.45.180,08:00,260472413,1846
1,10.59.45.180,09:00,427108717,2922
1,10.59.45.180,10:00,247088569,2284
1,10.59.45.180,11:00,294788479,2540
1,10.59.45.180,12:00,349091122,2211
1,10.59.45.180,13:00,304090812,2314
1,10.59.45.180,14:00,324302533,2802
1,10.59.45.180,15:00,333053175,2501
1,10.59.45.180,16:00,339406036,2366
1,10.59.45.180,17:00,258873667,2245
1,10.59.45.180,18:00,234493116,2466
1,10.59.45.180,19:00,289440359,2243
1,10.59.45.180,20:00,376988233,2360
1,10.59.45.180,21:00,278574096,2446
1,10.59.45.180,22:00,334319321,2602
1,10.59.45.180,23:00,238466191,2210
2,10.59.223.26,00:00,3129392,851
2,10.59.223.26,01:00,1946121,246
2,10.59.223.26,02:00,10659881,986
2,10.59.223.26,03:00,22446537,1109
2,10.59.223.26,04:00,6197077,1173
2,10.59.223.26,05:00,1439800,357
2,10.59.223.26,06:00,2073719,2436
2,10.59.223.26,07:00,5787901,3017
2,10.59.223.26,08:00,1910892,614
2,10.59.223.26,09:00,30081896,1286
2,10.59.223.26,10:00,33924340,1884
2,10.59.223.26,11:00,27246151,1578
2,10.59.223.26,12:00,16723809,680
2,10.59.223.26,13:00,17881531,843
2,10.59.223.26,14:00,52588422,2157
2,10.59.223.26,15:00,37922613,1582
2,10.59.223.26,16:00,34184387,2307
2,10.59.223.26,17:00,52056604,5641
2,10.59.223.26,18:00,42948405,3500
2,10.59.223.26,19:00,36464284,1353
2,10.59.223.26,20:00,27452838,1024
2,10.59.223.26,21:00,4971401,232
2,10.59.223.26,22:00,5420848,449
2,10.59.223.26,23:00,4908685,325
3,10.59.223.66,00:00,52579831,717
3,10.59.223.66,01:00,5785173,875
3,10.59.223.66,02:00,60398469,1398
3,10.59.223.66,03:00,100724741,1189
3,10.59.223.66,04:00,31191035,531
3,10.59.223.66,05:00,19226552,1399
3,10.59.223.66,06:00,13978750,1630
3,10.59.223.66,07:00,25863453,2009
3,10.59.223.66,08:00,22305556,1382
3,10.59.223.66,09:00,13566474,992
3,10.59.223.66,10:00,5170020,1401
3,10.59.223.66,11:00,20972761,1352
3,10.59.223.66,12:00,2712896,1585
3,10.59.223.66,13:00,5127510,1059
